Frame,DroneE,DroneN,RGVE,RGVN
1,0.0,0.0,0,0
2,0.0,0.0,0,0
3,0.0,0.0,0,0
4,0.0,0.0,0,0
5,-0.08540216768933322,-0.111062758999533,0,0
6,-0.08540216768933322,-0.111062758999533,0,0
7,-0.08540216768933322,-0.111062758999533,0,0
8,-0.08540216768933322,-0.111062758999533,0,0
9,-0.08540216768933322,-0.111062758999533,0,0
10,-0.08540216768933322,-0.111062758999533,0,0
11,-0.17080433676697,-0.22212551735775543,0,0
12,-0.17080433676697,-0.22212551735775543,0,0
13,-0.17080433676697,-0.22212551735775543,0,0
14,-0.17080433676697,-0.22212551735775543,0,0
15,-0.17080433676697,-0.22212551735775543,0,0
16,-0.17080433676697,-0.22212551735775543,0,0
17,-0.17080433676697,-0.22212551735775543,0,0
18,-0.25620650931536565,-0.33318827357770797,0,0
19,-0.25620650931536565,-0.33318827357770797,0,0
20,-0.34160867824452334,-0.3331882703577661,0,0
21,-0.34160867824452334,-0.3331882703577661,0,0
22,-0.34160867824452334,-0.3331882703577661,0,0
23,-0.34160867824452334,-0.3331882703577661,0,0
24,-0.34160867824452334,-0.3331882703577661,0,0
25,-0.34160867824452334,-0.3331882703577661,0,0
26,-0.42701085534639566,-0.4442510276536856,0,0
27,-0.42701085534639566,-0.4442510276536856,0,0
28,-0.42701085534639566,-0.4442510276536856,0,0
29,-0.42701085534639566,-0.4442510276536856,0,0
30,-0.42701085534639566,-0.4442510276536856,0,0
31,-0.42701085534639566,-0.4442510276536856,0,0
32,-0.5124130330189658,-0.5553137813259381,0,0
33,-0.5124130330189658,-0.5553137813259381,0,0
34,-0.5124130330189658,-0.5553137813259381,0,0
35,-0.5978152054391193,-0.5553137749939996,0,0
36,-0.5978152054391193,-0.5553137749939996,0,0
37,-0.5978152054391193,-0.5553137749939996,0,0
38,-0.6832173868070864,-0.6663765272806663,0,0
39,-0.6832173868070864,-0.6663765272806663,0,0
40,-0.6832173868070864,-0.6663765272806663,0,0
41,-0.6832173868070864,-0.6663765272806663,0,0
42,-0.6832173868070864,-0.6663765272806663,0,0
43,-0.6832173868070864,-0.6663765272806663,0,0
44,-0.7686195716255758,-0.7774392787594522,0,0
45,-0.7686195716255758,-0.7774392787594522,0,0
46,-0.7686195716255758,-0.7774392787594522,0,0
47,-0.8540217457396186,-0.7774392690006429,0,0
48,-0.8540217457396186,-0.7774392690006429,0,0
49,-0.8540217457396186,-0.7774392690006429,0,0
50,-0.9394239356215718,-0.8885020187129342,0,0
51,-0.9394239356215718,-0.8885020187129342,0,0
52,-0.9394239356215718,-0.8885020187129342,0,0
53,-1.0248261106746415,-0.8885020078774336,0,0
54,-1.0248261106746415,-0.8885020078774336,0,0
55,-1.0248261106746415,-0.8885020078774336,0,0
56,-1.110228303149037,-0.9995647553902784,0,0
57,-1.110228303149037,-0.9995647553902784,0,0
58,-1.110228303149037,-0.9995647553902784,0,0
59,-1.195630479630884,-0.9995647423226763,0,0
60,-1.195630479630884,-0.9995647423226763,0,0
61,-1.195630479630884,-0.9995647423226763,0,0
62,-1.2810326755760388,-1.1106274880539138,0,0
63,-1.2810326755760388,-1.1106274880539138,0,0
64,-1.2810326755760388,-1.1106274880539138,0,0
65,-1.3664348743180372,-1.2216902311721412,0,0
66,-1.3664348743180372,-1.2216902311721412,0,0
67,-1.3664348743180372,-1.2216902311721412,0,0
68,-1.4518370540460048,-1.2216902155702476,0,0
69,-1.4518370540460048,-1.2216902155702476,0,0
70,-1.4518370540460048,-1.2216902155702476,0,0
71,-1.5372392555646104,-1.332752959545828,0,0
72,-1.5372392555646104,-1.332752959545828,0,0
73,-1.5372392555646104,-1.332752959545828,0,0
74,-1.6226414369459936,-1.3327529417511923,0,0
75,-1.6226414369459936,-1.3327529417511923,0,0
76,-1.6226414369459936,-1.3327529417511923,0,0
77,-1.7080436167751454,-1.3327529230639774,0,0
78,-1.7080436167751454,-1.3327529230639774,0,0
79,-1.7080436167751454,-1.3327529230639774,0,0
80,-1.793445798217239,-1.3327529034181484,0,0
81,-1.793445798217239,-1.3327529034181484,0,0
82,-1.793445798217239,-1.3327529034181484,0,0
83,-1.8788480078207908,-1.4438156419835968,0,0
84,-1.8788480078207908,-1.4438156419835968,0,0
85,-1.8788480078207908,-1.4438156419835968,0,0
86,-1.9642501893438322,-1.4438156198695111,0,0
87,-1.9642501893438322,-1.4438156198695111,0,0
88,-1.9642501893438322,-1.4438156198695111,0,0
89,-2.049652401723991,-1.554878356795676,0,0
90,-2.049652401723991,-1.554878356795676,0,0
91,-2.049652401723991,-1.554878356795676,0,0
92,-2.135054615553164,-1.665941092655987,0,0
93,-2.135054615553164,-1.665941092655987,0,0
94,-2.135054615553164,-1.665941092655987,0,0
95,-2.220456799403536,-1.6659410684672367,0,0
96,-2.220456799403536,-1.6659410684672367,0,0
97,-2.220456799403536,-1.6659410684672367,0,0
